Fila,UPZ,Zona,Error
460,,,UPZ y Zona vacías
462,,,UPZ y Zona vacías
468,,,UPZ y Zona vacías
471,,,UPZ y Zona vacías
472,,,UPZ y Zona vacías
477,,,UPZ y Zona vacías
478,,,UPZ y Zona vacías
479,,,UPZ y Zona vacías
483,,,UPZ y Zona vacías
484,,,UPZ y Zona vacías
1164,,,UPZ y Zona vacías
1165,,,UPZ y Zona vacías
1166,,,UPZ y Zona vacías
1167,,,UPZ y Zona vacías
1168,,,UPZ y Zona vacías
1169,,,UPZ y Zona vacías
1170,,,UPZ y Zona vacías
1171,,,UPZ y Zona vacías
1172,512,,UPZ '512' no existe en diccionario
1173,646,,UPZ '646' no existe en diccionario
1174,1158,,UPZ '1158' no existe en diccionario
